id,lat,long,num_road
HI7000d,116.42768999999998,39.94485,4
HI7001a,116.42764,39.9433,3
HI7002a,116.42782,39.93705,2
HI7039a,116.42832,39.92993,3
HI7003a,116.42785,39.925129999999996,3
HI7040a,116.42875,39.92075,3
HI7005a,116.42928,39.912,3
HI7006a,116.42962,39.90918,3
HI7007a,116.43007,39.90175,3
HI7009a,116.43835,39.89055,3
HI7010a,116.4387,39.8854,3
HI7011a,116.43955,39.881479999999996,3
HI7012a,116.43945,39.875820000000004,3
HI7013a,116.43828,39.87125,3
HI7014b,116.43597,39.86927,3
HI7015b,116.43021999999999,39.869440000000004,3
HI7043b,116.42113,39.86993,3
HI7016b,116.41767,39.870129999999996,3
HI7017b,116.41218,39.86992,2
HI7059b,116.40307,39.8707,3
HI5093b,116.39986,39.87061,4
HI7019b,116.38643,39.870059999999995,3
HI7020b,116.37753000000001,39.86958,4
HI7046b,116.35768,39.86753,4
HI7022b,116.35141000000002,39.86705,6
HI7065c,116.34275,39.8723,5
HI5056c,116.34325,39.87617,4
HI7025c,116.34268999999999,39.883,4
HI7026c,116.34258,39.89158,4
HI2068c,116.34268,39.89468,3
HI7048d,116.34997,39.89798,3
HI2075c,116.35073,39.90278,4
HI7049c,116.3503,39.9044,3
HI7029c,116.3504,39.9078,3
HI7050c,116.35037,39.91002,3
HI7052c,116.35023000000001,39.91367,3
HI7064c,116.35016999999999,39.92385,4
HI2105c,116.34957,39.92857,3
HI7032c,116.34931999999999,39.93655,3
HI7054d,116.35598,39.94435,3
HI3002d,116.36025,39.94573,3
HI7035d,116.36985,39.947720000000004,3
HI7056d,116.37833,39.94747,3
HI7057d,116.38915,39.94757,3
HI7058d,116.40401999999999,39.9475,3
HI3008d,116.40997,39.94768,3
HI3009d,116.4194,39.94832,3
HI7060d,116.42345,39.94815,3
HI8051a,116.45598000000001,39.94497,3
HI8053a,116.45518,39.93153,3
HI8074a,116.45551,39.9279,3
HI8054a,116.45513000000001,39.923970000000004,3
HI4034a,116.45496999999999,39.91835,3
HI4038a,116.4551,39.89833,3
HI8005a,116.4549,39.89075,3
HI4036a,116.45518999999999,39.88778,4
HI8007a,116.45467,39.88227,3
HI8008a,116.455,39.87857,3
HI8056a,116.45523,39.87312,4
HI8009a,116.4545,39.86918,3
HI8010a,116.45257,39.86438,3
HI8057a,116.43768,39.85753,3
HI8011a,116.43218,39.85735,3
HI8058b,116.42114,39.85669,3
HI8014b,116.41063999999999,39.85568,3
HI8015b,116.40628000000001,39.85582,3
HI8016b,116.40205,39.85564,3
HI8017b,116.39777,39.85593,3
HI8059b,116.38563,39.85568,3
HI8018b,116.38223,39.85545,3
HI8019b,116.35651000000001,39.852990000000005,3
HI8020b,116.34735,39.85049,3
HI8021b,116.33546000000001,39.84769,4
HI8022b,116.32518999999999,39.84817,3
HI8072c,116.307,39.8617,3
HI8073c,116.30603,39.86582,3
HI8023c,116.30591000000001,39.87053,3
HI8025c,116.30506000000001,39.87836,3
HI8026c,116.30426999999999,39.88782,3
HI8062c,116.3043,39.89235,4
HI8027c,116.30423,39.901540000000004,3
HI8063c,116.30417,39.91008,1
HI8064c,116.30413,39.91579,3
HI2063c,116.30368,39.92205,3
HI2065c,116.3041,39.92637,4
HI8030c,116.30408999999999,39.93588,4
HI2092c,116.304,39.948,4
HI8034d,116.30476999999999,39.96178,3
HI2081d,116.3121,39.96502,3
HI2072d,116.32229,39.96607,4
HI8037d,116.32777,39.96597,3
HI8038d,116.33372,39.96605,3
HI8039d,116.34499,39.9663,3
HI8040d,116.35473,39.96638,4
HI3052d,116.36265,39.96678,3
HI8068d,116.38095,39.96678,4
HI8042d,116.38532,39.96748,3
HI8043d,116.39341,39.96725,4
HI8044d,116.39915,39.967459999999996,3
HI8047d,116.42018,39.96778,3
HI8048d,116.42687,39.96819,3
HI8050d,116.43542,39.964890000000004,3
HI4005a,116.45,39.9508,4
HI9001c,116.48347,39.88573,4
HI9002c,116.48325,39.87525,4
HI9003c,116.48277,39.87165,4
HI9004c,116.47998,39.85457,4
HI9005c,116.4739,39.848,4
HI9006c,116.46799999999999,39.842,4
HI9007d,116.46177,39.83437,4
HI9008c,116.454,39.833,4
HI9009d,116.44667,39.83148,4
HI9010d,116.42957,39.83105,4
HI9011d,116.42200000000001,39.83105,4
HI9012d,116.4119,39.831070000000004,4
HI9013d,116.40462,39.8311,4
HI9014d,116.38391999999999,39.83063,4
HI9015d,116.37598,39.83043,4
HI9016d,116.36793,39.830220000000004,4
HI9017d,116.3592,39.82993,4
HI9018d,116.35,39.82992,5
HI9019d,116.34597,39.82997,4
HI9020d,116.33397,39.82975,4
HI9021d,116.32973,39.82953,4
HI9022d,116.31895,39.82948,4
HI9067d,116.2957,39.8295,4
HI9068d,116.28667,39.82965,4
HI9069a,116.27887,39.84217,4
HI9070a,116.27563,39.86817,4
HI9023a,116.27175,39.87545,4
HI9024a,116.2687,39.88397,4
HI9025a,116.2682,39.889,4
HI9026a,116.26817,39.895579999999995,4
HI9028a,116.26817,39.90062,4
HI9030a,116.26841999999999,39.91235,4
HI9032a,116.26921999999999,39.92965,4
HI9071a,116.26848000000001,39.93547,4
HI9033a,116.26843000000001,39.94073,4
HI9034a,116.26988,39.95235,4
HI9072a,116.27,39.9584,4
HI9035a,116.28399999999999,39.9783,4
HI9036a,116.28902,39.98222,5
HI9038d,116.32173,39.98445,4
HI9039d,116.33395,39.98537,4
HI9040d,116.34073000000001,39.98505,5
HI9041d,116.36,39.986,4
HI9042d,116.3823,39.98635,3
HI9043d,116.38906999999999,39.98658,4
HI9044d,116.3954,39.98677,4
HI9045d,116.40772,39.98715,4
HI9046d,116.41441999999999,39.98737,4
HI9047d,116.42428000000001,39.98757,4
HI9074d,116.44,39.9846,4
HI9049a,116.46152,39.97097,4
HI9050a,116.4735,39.96308,4
HI9051a,116.47641999999999,39.96112,4
HI9052a,116.48323,39.95,4
HI9053a,116.48357,39.94838,4
HI9054a,116.48355,39.93435,4
HI9055a,116.48355,39.92888,4
HI9056a,116.48342,39.9169,4
HI9057a,116.34206999999999,39.862120000000004,3
HI9077a,116.34147,39.85725,3
HI9078a,116.34100000000001,39.8531,3
HI8020a,116.34042,39.84882,3
HI9079a,116.33985,39.840579999999996,4
HI9020a,116.33955,39.835570000000004,4
HI9080b,116.34165,39.89682,3
HI9059b,116.32888,39.8961,4
HI9060b,116.3175,39.89578,3
HI8062b,116.31118000000001,39.89585,3
HI9061c,116.34998,39.94593,3
HI9062c,116.34886999999999,39.95367,3
HI9063c,116.34803000000001,39.960370000000005,4
HI8039c,116.348,39.9664,3
HI9064c,116.34755,39.97122,4
HI9065c,116.34751999999999,39.97768,3
HI9040c,116.34738,39.98195,3
HI9090b,116.334,39.9373,3
HI9091b,116.32799999999999,39.9371,3
HI8030b,116.31299999999999,39.9383,4
HI9092b,116.309,39.9393,3
HI9093b,116.29899999999999,39.9428,4
HI9094b,116.294,39.9447,4
HI9034b,116.28399999999999,39.9463,4
HI9081c,116.37299999999999,39.9517,3
HI9082c,116.37299999999999,39.9569,3
HI9083c,116.374,39.9604,3
HI9068c,116.374,39.9647,3
HI9084c,116.375,39.9725,3
HI9085c,116.375,39.9756,4
HI9086c,116.374,39.9787,3
HI9087c,116.37299999999999,39.9811,3
HI9041c,116.37299999999999,39.984,3
HI9095c,116.301,39.9667,3
HI9096c,116.29799999999999,39.9704,4
HI9102c,116.295,39.9767,3
HI9037g,116.294,39.9799,3
HI9097c,116.29299999999999,39.9899,3
HI9098c,116.29,39.9935,3
HI9099c,116.286,39.9987,3
HI9101c,116.28200000000001,40.0082,2
HI7060b,116.42768999999998,39.94485,3
HI7000c,116.42764,39.9433,3
HI7001c,116.42782,39.93705,3
HI7002c,116.42832,39.92993,3
HI7039c,116.42785,39.925129999999996,3
HI7003c,116.42875,39.92075,3
HI7004c,116.42928,39.912,3
HI7005c,116.42962,39.90918,3
HI7041c,116.43007,39.90175,3
HI7008c,116.43835,39.89055,4
HI7009c,116.4387,39.8854,3
HI7010c,116.43955,39.881479999999996,4
HI7011c,116.43945,39.875820000000004,3
HI7012c,116.43828,39.87125,2
HI7013c,116.43597,39.86927,4
HI7014d,116.43021999999999,39.869440000000004,3
HI7015d,116.42113,39.86993,3
HI7043d,116.41767,39.870129999999996,3
HI7016d,116.41218,39.86992,3
HI7017d,116.40307,39.8707,3
HI7059d,116.39986,39.87061,3
HI5093d,116.38643,39.870059999999995,4
HI7019d,116.37753000000001,39.86958,4
HI5062d,116.35768,39.86753,4
HI7046d,116.35141000000002,39.86705,3
HI7022a,116.34364,39.86783,3
HI7023a,116.34275,39.8723,3
HI7065a,116.34325,39.87617,3
HI5056a,116.34268999999999,39.883,3
HI7025a,116.34258,39.89158,5
HI7026a,116.34268,39.89468,3
HI2068a,116.34997,39.89798,3
HI7048b,116.35073,39.90278,3
HI2075a,116.3503,39.9044,3
HI7049a,116.3504,39.9078,3
HI7029a,116.35037,39.91002,3
HI7051a,116.35023000000001,39.91367,3
HI7030a,116.35016999999999,39.92385,4
HI7053a,116.34957,39.92857,3
HI2105a,116.34931999999999,39.93655,3
HI7032b,116.35598,39.94435,0
HI7033b,116.36025,39.94573,3
HI3002b,116.36985,39.947720000000004,3
HI7035b,116.37833,39.94747,3
HI7057b,116.38915,39.94757,3
HI7036b,116.40401999999999,39.9475,3
HI7058b,116.40997,39.94768,3
HI3008b,116.4194,39.94832,3
HI3009b,116.42345,39.94815,3
HI4005c,116.45598000000001,39.94497,3
HI4013c,116.45518,39.93153,3
HI8053c,116.45551,39.9279,3
HI8074c,116.45513000000001,39.923970000000004,3
HI8055c,116.45496999999999,39.91835,3
HI4034c,116.4551,39.89833,3
HI4038c,116.4549,39.89075,3
HI8005c,116.45518999999999,39.88778,4
HI8007c,116.455,39.87857,3
HI8008c,116.45523,39.87312,3
HI8056c,116.4545,39.86918,3
HI8009c,116.45257,39.86438,3
HI8010c,116.43768,39.85753,3
HI8057d,116.43218,39.85735,3
HI8012d,116.42114,39.85669,3
HI8013d,116.41063999999999,39.85568,3
HI8014d,116.40628000000001,39.85582,3
HI8015d,116.40205,39.85564,3
HI8016d,116.39777,39.85593,3
HI8017d,116.38563,39.85568,3
HI8059d,116.38223,39.85545,3
HI8018d,116.35651000000001,39.852990000000005,3
HI8019d,116.34735,39.85049,3
HI8020d,116.33546000000001,39.84769,4
HI8021d,116.32518999999999,39.84817,3
HI8022a,116.307,39.8617,3
HI8072a,116.30603,39.86582,3
HI8073a,116.30591000000001,39.87053,3
HI8024a,116.30506000000001,39.87836,3
HI8026a,116.3043,39.89235,4
HI8062a,116.30423,39.901540000000004,3
HI8027a,116.30417,39.91008,1
HI8063a,116.30413,39.91579,3
HI8064a,116.30368,39.92205,3
HI2063a,116.3041,39.92637,4
HI2065a,116.30408999999999,39.93588,4
HI2090a,116.304,39.948,3
HI2092b,116.30476999999999,39.96178,3
HI8034b,116.3121,39.96502,3
HI2081b,116.32229,39.96607,3
HI2072b,116.32777,39.96597,3
HI8037b,116.33372,39.96605,3
HI8066b,116.34499,39.9663,3
HI8039b,116.35473,39.96638,4
HI8040b,116.36265,39.96678,3
HI3052b,116.38095,39.96678,4
HI8070b,116.38532,39.96748,3
HI8042b,116.39341,39.96725,4
HI8043b,116.39915,39.967459999999996,3
HI8044b,116.40483,39.96763,3
HI8046b,116.42018,39.96778,3
HI8047b,116.42687,39.96819,3
HI8071b,116.43542,39.964890000000004,3
HI8050c,116.45,39.9508,4
HI9002a,116.48347,39.88573,4
HI9003a,116.48325,39.87525,4
HI9004a,116.48277,39.87165,4
HI9005a,116.47998,39.85457,4
HI9006a,116.4739,39.848,4
HI9007a,116.46799999999999,39.842,4
HI9008a,116.46177,39.83437,4
HI9009b,116.454,39.833,4
HI9010b,116.44667,39.83148,4
HI9011b,116.42957,39.83105,4
HI9012b,116.42200000000001,39.83105,4
HI9013b,116.4119,39.831070000000004,4
HI9014b,116.40462,39.8311,4
HI9015b,116.38391999999999,39.83063,4
HI9016b,116.37598,39.83043,4
HI9017b,116.36793,39.830220000000004,4
HI9018b,116.3592,39.82993,4
HI9019b,116.35,39.82992,4
HI9020b,116.34597,39.82997,4
HI9066b,116.33397,39.82975,4
HI9067b,116.32973,39.82953,4
HI9068b,116.31895,39.82948,4
HI9022b,116.2957,39.8295,4
HI9069b,116.28667,39.82965,4
HI9070c,116.27887,39.84217,4
HI9023c,116.27563,39.86817,4
HI9024c,116.27175,39.87545,4
HI9025c,116.2687,39.88397,4
HI9026c,116.2682,39.889,4
HI9028c,116.26817,39.895579999999995,4
HI9029c,116.26817,39.90062,4
HI9030c,116.26818,39.9088,4
HI9031c,116.26841999999999,39.91235,4
HI9032c,116.26937,39.92667,4
HI9071c,116.26921999999999,39.92965,4
HI9033c,116.26848000000001,39.93547,4
HI9034c,116.26843000000001,39.94073,4
HI9072c,116.26988,39.95235,4
HI9035c,116.27,39.9584,4
HI9036c,116.28399999999999,39.9783,4
HI9037c,116.28902,39.98222,4
HI9073b,116.32173,39.98445,4
HI9038b,116.33395,39.98537,4
HI9039b,116.34073000000001,39.98505,4
HI9040b,116.36,39.986,4
HI9041b,116.3823,39.98635,4
HI9042b,116.38906999999999,39.98658,4
HI9043b,116.3954,39.98677,4
HI9044b,116.40772,39.98715,4
HI9045b,116.41441999999999,39.98737,4
HI9046b,116.42428000000001,39.98757,4
HI9048c,116.44,39.9846,4
HI9074b,116.46152,39.97097,4
HI9049c,116.4735,39.96308,4
HI9050c,116.47641999999999,39.96112,4
HI9051c,116.48323,39.95,4
HI9052c,116.48357,39.94838,4
HI9053c,116.48355,39.93435,4
HI9054c,116.48355,39.92888,4
HI9055c,116.48342,39.9169,4
HI9077c,116.34206999999999,39.862120000000004,3
HI7022c,116.34147,39.85725,3
HI9057c,116.34100000000001,39.8531,3
HI9078c,116.34042,39.84882,3
HI8020c,116.33985,39.840579999999996,4
HI9079c,116.33955,39.835570000000004,4
HI2068d,116.34165,39.89682,3
HI9080d,116.32888,39.8961,4
HI9059d,116.3175,39.89578,3
HI9060d,116.31118000000001,39.89585,3
HI7032a,116.34998,39.94593,3
HI9061a,116.34886999999999,39.95367,3
HI9062a,116.34803000000001,39.960370000000005,4
HI9063a,116.348,39.9664,3
HI8039a,116.34755,39.97122,4
HI9064a,116.34751999999999,39.97768,3
HI9065a,116.34738,39.98195,3
HI7032d,116.34299999999999,39.9387,3
HI9088d,116.334,39.9373,3
HI9090d,116.32799999999999,39.9371,3
HI9091d,116.31299999999999,39.9383,4
HI8030d,116.309,39.9393,3
HI9093d,116.294,39.9447,4
HI9094d,116.28399999999999,39.9463,3
HI7035a,116.37299999999999,39.9517,3
HI9081a,116.37299999999999,39.9569,3
HI9082a,116.374,39.9604,5
HI8068a,116.375,39.9725,3
HI9084a,116.375,39.9756,3
HI9085a,116.374,39.9787,3
HI9087a,116.37299999999999,39.984,3
HI2092a,116.301,39.9667,3
HI9102a,116.294,39.9799,3
HI9037a,116.29299999999999,39.9899,3
HI9097a,116.29,39.9935,3
HI9098a,116.286,39.9987,3
HI9100a,116.28200000000001,40.0082,3
