,class,det
0,2,HI7025c
1,2,HI5056c
2,2,HI7065c
3,2,HI7022b
4,2,HI7046b
5,2,HI9057a
6,2,HI9077a
7,2,HI9078a
8,2,HI8020a
9,2,HI8020b
10,2,HI8019b
11,2,HI8021b
12,2,HI8022b
13,2,HI7020b
14,2,HI7019b
15,2,HI5093b
16,2,HI7059b
17,2,HI7017b
18,2,HI7016b
19,2,HI8018b
20,2,HI8059b
21,2,HI8017b
22,2,HI8016b
23,2,HI8015b
24,2,HI8014b
25,3,HI9102c
26,3,HI9096c
27,3,HI9095c
28,3,HI8034d
29,3,HI2092c
30,3,HI9093b
31,3,HI9094b
32,3,HI9092b
33,3,HI8030b
34,3,HI9091b
35,3,HI9090b
36,3,HI8030c
37,3,HI2065c
38,3,HI2063c
39,3,HI8064c
40,3,HI8063c
41,3,HI8027c
42,3,HI8062c
43,3,HI8026c
44,3,HI9061c
45,3,HI7054d
46,3,HI7032c
47,3,HI2105c
48,3,HI7064c
49,3,HI7052c
50,4,HI9041d
51,4,HI8040d
52,4,HI3052d
53,4,HI9041c
54,4,HI9087c
55,4,HI9086c
56,4,HI9085c
57,4,HI9084c
58,4,HI9068c
59,4,HI9083c
60,4,HI8068d
61,4,HI8042d
62,4,HI8043d
63,4,HI8044d
64,4,HI9042d
65,4,HI9043d
66,4,HI9044d
67,4,HI9045d
68,4,HI9046d
69,4,HI9047d
70,4,HI9074d
71,4,HI9049a
72,4,HI8047d
73,4,HI8048d
74,4,HI8050d